일자,중식계,석식계
2021-01-27,1038.6058,355.87366
2021-01-28,907.50146,476.51813
2021-01-29,630.8042,261.80304
2021-02-01,1258.6268,623.9246
2021-02-02,1028.1553,530.73114
2021-02-03,916.1441,459.5758
2021-02-04,894.83716,513.2251
2021-02-05,686.53296,383.38043
2021-02-08,1267.64,608.147
2021-02-09,1155.0209,540.53033
2021-02-10,737.3657,226.49696
2021-02-15,1292.697,685.82025
2021-02-16,1056.2115,523.1956
2021-02-17,1087.0747,431.66876
2021-02-18,887.91235,450.0188
2021-02-19,635.1759,391.3695
2021-02-22,1228.7126,593.2794
2021-02-23,1015.3907,497.78302
2021-02-24,853.10754,368.89078
2021-02-25,871.3882,435.47275
2021-02-26,617.9061,294.05054
2021-03-02,1013.0868,610.61896
2021-03-03,1001.7409,442.6423
2021-03-04,857.0795,486.30475
2021-03-05,702.964,418.22046
2021-03-08,1263.2383,601.05286
2021-03-09,1069.29,564.0222
2021-03-10,1096.9554,448.00375
2021-03-11,905.1638,507.09457
2021-03-12,715.6153,326.74255
2021-03-15,1262.2623,663.4595
2021-03-16,1080.4829,541.75073
2021-03-17,1162.7864,429.26572
2021-03-18,870.54395,492.54025
2021-03-19,633.7379,315.74445
2021-03-22,1250.4999,637.73376
2021-03-23,957.19617,568.14026
2021-03-24,874.60974,389.1151
2021-03-25,784.40906,461.51807
2021-03-26,565.47156,311.57812
2021-03-29,1248.3633,627.7338
2021-03-30,1021.77783,559.9108
2021-03-31,948.15234,431.93182
2021-04-01,821.59784,443.57547
2021-04-02,612.4027,300.39133
2021-04-05,1224.3304,598.4658
2021-04-06,980.3831,542.0296
2021-04-07,1005.1807,427.77383
2021-04-08,830.0019,455.81662
2021-04-09,602.4823,313.42703
