일자,중식계,석식계
2021-01-27,1036.987,391.77707
2021-01-28,907.96436,427.80655
2021-01-29,580.5772,214.11357
2021-02-01,1211.8839,503.83444
2021-02-02,1018.9095,447.35144
2021-02-03,1010.63416,431.72116
2021-02-04,933.18506,468.84232
2021-02-05,667.9772,373.50012
2021-02-08,1233.7994,618.0942
2021-02-09,1058.9043,496.25043
2021-02-10,795.1068,211.40483
2021-02-15,1274.7723,719.3704
2021-02-16,1028.0912,651.5259
2021-02-17,1073.5358,431.66672
2021-02-18,772.6816,526.9519
2021-02-19,638.0002,382.79977
2021-02-22,1225.0265,655.86194
2021-02-23,1017.9482,615.475
2021-02-24,823.3166,401.59534
2021-02-25,793.15936,496.30194
2021-02-26,579.9493,261.7565
2021-03-02,1065.88,626.40485
2021-03-03,958.96,444.558
2021-03-04,845.1583,526.59674
2021-03-05,680.69055,376.47845
2021-03-08,1189.4814,663.2995
2021-03-09,983.8298,639.3497
2021-03-10,1032.6178,432.19547
2021-03-11,868.49365,536.34186
2021-03-12,705.15625,118.56655
2021-03-15,1200.3473,689.8266
2021-03-16,1028.8015,559.2782
2021-03-17,1070.0746,440.77173
2021-03-18,890.45685,494.28992
2021-03-19,644.8376,279.6511
2021-03-22,1244.8452,613.37177
2021-03-23,954.0617,549.2202
2021-03-24,854.58203,391.2554
2021-03-25,784.8809,445.43814
2021-03-26,573.6328,277.1435
2021-03-29,1140.5216,596.74664
2021-03-30,966.99286,548.0265
2021-03-31,920.4816,391.2792
2021-04-01,782.0962,421.41718
2021-04-02,635.253,270.00436
2021-04-05,1169.1918,566.8477
2021-04-06,987.37354,532.78534
2021-04-07,965.8288,399.53067
2021-04-08,844.90985,458.9166
2021-04-09,617.6491,264.85666
