iter	Passed	Remaining
0	7	1779
1	13	1503
2	19	1477
3	26	1523
4	32	1456
5	42	1575
6	48	1538
7	56	1555
8	62	1522
9	71	1577
10	77	1552
11	85	1554
12	91	1524
13	100	1544
14	106	1527
15	113	1513
16	118	1489
17	125	1475
18	133	1483
19	139	1466
20	146	1461
21	153	1450
22	161	1451
23	168	1443
24	175	1438
25	180	1418
26	187	1407
27	195	1409
28	202	1401
29	209	1393
30	214	1377
31	222	1379
32	229	1367
33	239	1379
34	245	1367
35	253	1367
36	259	1355
37	267	1351
38	273	1339
39	278	1325
40	287	1326
41	293	1313
42	302	1314
43	307	1300
44	314	1293
45	320	1283
46	326	1270
47	334	1268
48	340	1257
49	347	1249
50	353	1239
51	360	1234
52	368	1229
53	373	1218
54	381	1214
55	387	1202
56	395	1199
57	402	1192
58	409	1186
59	416	1178
60	424	1175
61	430	1167
62	437	1160
63	443	1150
64	452	1147
65	459	1141
66	465	1132
67	470	1121
68	476	1112
69	486	1110
70	491	1100
71	499	1095
72	504	1085
73	510	1076
74	517	1070
75	523	1060
76	530	1054
77	536	1046
78	546	1044
79	551	1034
80	557	1026
81	563	1017
82	569	1008
83	578	1004
84	584	996
85	592	991
86	597	982
87	604	974
88	610	966
89	616	958
90	626	956
91	632	948
92	637	939
93	645	934
94	654	929
95	660	922
96	666	913
97	672	905
98	678	897
99	687	893
100	694	887
101	701	880
102	708	873
103	716	868
104	723	861
105	729	853
106	735	844
107	743	840
108	750	832
109	756	824
110	761	816
111	767	808
112	775	802
113	782	795
114	791	791
115	797	783
116	805	777
117	812	771
118	818	763
119	825	756
120	831	749
121	841	744
122	846	736
123	854	730
124	860	722
125	865	714
126	873	708
127	879	700
128	888	695
129	893	687
130	900	680
131	907	673
132	914	666
133	921	660
134	927	652
135	936	647
136	943	640
137	949	632
138	956	625
139	963	619
140	969	611
141	976	604
142	981	597
143	989	591
144	996	583
145	1004	578
146	1012	571
147	1018	564
148	1024	557
149	1030	549
150	1039	543
151	1045	536
152	1052	529
153	1058	522
154	1064	514
155	1072	508
156	1077	501
157	1086	495
158	1092	487
159	1101	482
160	1107	474
161	1114	468
162	1120	460
163	1126	453
164	1135	447
165	1141	440
166	1148	433
167	1153	425
168	1160	418
169	1167	411
170	1173	404
171	1181	398
172	1186	391
173	1194	384
174	1201	377
175	1210	371
176	1216	364
177	1224	357
178	1232	351
179	1239	344
180	1245	337
181	1252	330
182	1257	322
183	1263	315
184	1272	309
185	1279	302
186	1285	295
187	1291	288
188	1301	282
189	1307	275
190	1314	268
191	1320	261
192	1327	254
193	1334	247
194	1340	240
195	1349	234
196	1354	226
197	1361	220
198	1367	213
199	1373	205
200	1383	199
201	1389	192
202	1396	185
203	1402	178
204	1411	172
205	1417	165
206	1424	158
207	1430	151
208	1438	144
209	1446	137
210	1453	130
211	1459	123
212	1466	117
213	1473	110
214	1478	103
215	1486	96
216	1492	89
217	1501	82
218	1507	75
219	1514	68
220	1519	61
221	1526	55
222	1535	48
223	1540	41
224	1548	34
225	1554	27
226	1562	20
227	1567	13
228	1575	6
229	1581	0
