,일자,요일,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,밥,국,메인,중식계,석식계
0,2016-02-01,월,2601,50,150,238,0.0,밥,육개장,자반고등어구이,1039.0,331.0
1,2016-02-02,화,2601,50,173,319,0.0,콩나물밥*양념장,어묵국,유산슬,867.0,560.0
2,2016-02-03,수,2601,56,180,111,0.0,밥,청국장찌개,황태양념구이,1017.0,573.0
3,2016-02-04,목,2601,104,220,355,0.0,미니김밥*겨자장,우동,멕시칸샐러드,978.0,525.0
4,2016-02-05,금,2601,278,181,34,0.0,밥,차돌박이찌개,닭갈비,925.0,330.0
5,2016-02-11,목,2601,383,143,417,0.0,참치회덮밥,맑은국,군만두,1045.0,550.0
6,2016-02-12,금,2601,389,156,93,0.0,밥,김치콩나물국,미니함박,909.0,598.0
7,2016-02-15,월,2601,87,204,482,0.0,밥,홍합미역국,등갈비김치찜,1268.0,672.0
8,2016-02-16,화,2601,72,236,526,0.0,밥,된장찌개,쇠불고기,1014.0,523.0
9,2016-02-17,수,2601,78,250,23,0.0,볶음밥*자장소스,맑은국,새우또띠아,916.0,588.0
10,2016-02-18,목,2601,77,254,367,0.0,밥,순두부찌개,명태조림,910.0,489.0
11,2016-02-19,금,2601,145,252,69,0.0,밥,설렁탕,김치전,763.0,597.0
12,2016-02-22,월,2601,90,207,434,0.0,밥,옹심이만두국,떡갈비조림,1298.0,645.0
13,2016-02-23,화,2601,57,237,488,0.0,밥,콩비지찌개,해물까스&타르타르소스,899.0,610.0
14,2016-02-24,수,2601,54,232,14,0.0,밥,열무된장국,매운돼지갈비찜,1022.0,514.0
15,2016-02-25,목,2601,56,261,335,0.0,김밥,잔치국수,교자만두,917.0,531.0
16,2016-02-26,금,2601,144,278,42,0.0,밥,닭개장,삼치구이,766.0,585.0
17,2016-02-29,월,2601,595,168,110,0.0,밥,버섯들깨탕,꽁치한마리구이,869.0,344.0
18,2016-03-02,수,2624,127,182,261,0.0,밥,된장찌개,버섯불고기,1127.0,631.0
19,2016-03-03,목,2624,61,224,351,0.0,멸치주먹밥,우동,떡볶이,1000.0,473.0
20,2016-03-04,금,2624,83,247,79,0.0,밥,오징어국,미트볼조림,837.0,673.0
21,2016-03-07,월,2624,50,195,456,0.0,밥,대구찌개,돈육굴소스볶음,1326.0,625.0
22,2016-03-08,화,2624,47,212,426,0.0,카레덮밥,가쯔오장국,수제고로케*케찹,1026.0,609.0
23,2016-03-09,수,2624,43,225,0,0.0,밥,육개장,생선까스*탈탈소스,901.0,523.0
24,2016-03-10,목,2624,55,245,290,0.0,볶음밥,짬뽕,개성감자만두,847.0,525.0
25,2016-03-11,금,2624,108,275,76,0.0,밥,연두부탕,코다리무조림,728.0,591.0
26,2016-03-14,월,2624,61,183,376,0.0,밥,달래된장찌개,간장찜닭,1286.0,586.0
27,2016-03-15,화,2624,38,231,399,0.0,짜장잡채덮밥,계란파국,참치야채전,958.0,545.0
28,2016-03-16,수,2624,50,213,0,0.0,밥,뼈해장국,해물청경채볶음,998.0,531.0
29,2016-03-17,목,2624,52,242,327,0.0,토마토스파게티,양송이스프,미니햄버거,832.0,548.0
30,2016-03-18,금,2624,118,277,57,0.0,밥,닭곰탕,임연수찜,757.0,521.0
31,2016-03-21,월,2624,65,205,329,0.0,밥,수제비국,아귀콩나물찜,1030.0,605.0
32,2016-03-22,화,2624,41,208,378,0.0,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음,917.0,585.0
33,2016-03-23,수,2624,42,236,0,0.0,밥,알탕,동그랑땡전,963.0,544.0
34,2016-03-24,목,2624,53,251,293,0.0,참치회덮밥,미소장국,군만두,876.0,507.0
35,2016-03-25,금,2624,98,275,59,0.0,밥,냉이된장찌개,누룽지탕수육,861.0,523.0
36,2016-03-28,월,2624,77,197,299,0.0,밥,콩비지찌개,유산슬,1193.0,637.0
37,2016-03-29,화,2624,52,245,259,0.0,햄볶음밥,유부장국,돈육씨앗강정,892.0,465.0
38,2016-03-30,수,2624,48,230,0,0.0,밥,어묵국,등갈비김치찜,1033.0,463.0
39,2016-03-31,목,2624,36,248,158,0.0,주먹밥,잔치국수,또띠아피자,781.0,526.0
40,2016-04-01,금,2643,103,254,47,0.0,밥,쇠고기미역국,순살깐풍기,661.0,591.0
41,2016-04-04,월,2643,62,221,367,0.0,밥,된장찌개,고등어조림,1237.0,614.0
42,2016-04-05,화,2643,31,242,370,0.0,김치볶음밥,가쯔오장국,감자치즈구이,840.0,555.0
43,2016-04-06,수,2643,37,249,0,0.0,밥,매운버섯국,찜닭,876.0,492.0
44,2016-04-07,목,2643,47,258,339,0.0,김밥,우동,야채튀김,853.0,524.0
45,2016-04-08,금,2643,87,283,64,0.0,밥,오징어국,미니함박,764.0,542.0
46,2016-04-11,월,2643,82,203,392,0.0,밥,쇠고기무국,가자미찜,1225.0,536.0
47,2016-04-12,화,2643,76,225,239,0.0,치킨마요덮밥,유부주머니국,떡볶이,771.0,500.0
48,2016-04-14,목,2643,106,252,326,0.0,비빔밥,팽이버섯장국,새우또띠아,969.0,562.0
49,2016-04-15,금,2643,131,281,82,0.0,밥,들깨미역국,수제돈가스,579.0,582.0
50,2016-04-18,월,2643,81,225,330,0.0,밥,꽃게탕,유산슬,1120.0,525.0
51,2016-04-19,화,2643,44,239,387,0.0,낙지비빔밥,유부장국,새싹피자,980.0,449.0
52,2016-04-20,수,2643,47,262,0,0.0,밥,어묵국,닭볶음탕,849.0,504.0
53,2016-04-21,목,2643,66,264,312,0.0,오므라이스,팽이버섯국,해물까스*탈탈소스,940.0,531.0
54,2016-04-22,금,2643,150,275,86,0.0,밥,순두부찌개,탕수어,698.0,557.0
55,2016-04-25,월,2643,96,201,281,0.0,밥,알탕,순살깐풍기,1227.0,528.0
56,2016-04-26,화,2643,51,227,304,0.0,짜장덮밥,맑은국,쇠고기퀘사디아,795.0,568.0
57,2016-04-27,수,2643,71,234,0,0.0,밥,청국장찌개,코다리무조림,1028.0,490.0
58,2016-04-28,목,2643,56,269,196,0.0,참치주먹밥,비빔메밀국수,가쯔오장국,811.0,508.0
59,2016-04-29,금,2643,139,282,28,0.0,밥,들깨버섯탕,고추잡채*꽃빵,652.0,507.0
60,2016-05-02,월,2635,80,214,302,0.0,밥,북어국,고추장불고기,1242.0,551.0
61,2016-05-03,화,2635,65,251,292,0.0,밥,부대찌개*라면사리,탕수육,964.0,515.0
62,2016-05-04,수,2635,150,244,0,0.0,카레덮밥,미소장국,수제미니햄버거,723.0,636.0
63,2016-05-09,월,2635,101,233,344,0.0,밥,닭개장,가자미튀김,1216.0,591.0
64,2016-05-10,화,2635,53,252,350,0.0,김치볶음밥/계란,가쯔오국,찹쌀순대볶음,1008.0,519.0
65,2016-05-11,수,2635,60,266,0,0.0,밥,콩비지찌개,해물누룽지탕,915.0,423.0
66,2016-05-12,목,2635,71,274,315,0.0,돈까스김밥,잔치국수,멕시칸샐러드,753.0,532.0
67,2016-05-13,금,2635,185,268,80,0.0,밥,쇠고기무국,코다리강정,761.0,517.0
68,2016-05-16,월,2635,99,216,368,0.0,밥,닭곰탕,주꾸미볶음,1180.0,594.0
69,2016-05-17,화,2635,41,254,377,0.0,유부초밥,우동,떡볶이,899.0,633.0
70,2016-05-18,수,2635,71,257,0,0.0,밥,뼈해장국,황태양념구이,856.0,456.0
71,2016-05-19,목,2635,65,266,264,0.0,새우살볶음밥,팽이장국,사천식탕수육,898.0,529.0
72,2016-05-20,금,2635,169,287,56,0.0,밥,육개장,꽁치허브구이,653.0,487.0
73,2016-05-23,월,2635,88,203,362,0.0,밥,수제비국,데리야끼파닭,1160.0,613.0
74,2016-05-24,화,2635,74,234,310,0.0,참치회덮밥,맑은국,고구마치즈구이,1107.0,465.0
75,2016-05-25,수,2635,72,258,0,0.0,밥,된장찌개,등갈비김치찜,938.0,454.0
76,2016-05-26,목,2635,64,285,227,0.0,짜장잡채밥,계란파국,춘권*칠리소스,783.0,520.0
77,2016-05-27,금,2635,163,291,61,0.0,밥,꽃게탕,돈육청경채볶음,660.0,493.0
78,2016-05-30,월,2635,73,215,291,0.0,밥,해물순두부찌개,미니함박조림,1231.0,631.0
79,2016-05-31,화,2635,50,250,185,0.0,참치주먹밥,쌀국수,수제고로케*케찹,921.0,535.0
80,2016-06-01,수,2637,75,245,0,0.0,밥,어묵국,고추장불고기,916.0,490.0
81,2016-06-02,목,2637,81,258,301,0.0,날치알볶음밥,유부장국,고추잡채*꽃빵,850.0,483.0
82,2016-06-03,금,2637,191,268,64,0.0,밥,시래기국,수제돈까스,721.0,548.0
83,2016-06-07,화,2637,115,192,389,0.0,콩나물밥*양념장,가쯔오장국,미트볼케찹조림,1244.0,629.0
84,2016-06-08,수,2637,58,240,0,0.0,밥,육개장,자반고등어구이,931.0,500.0
85,2016-06-09,목,2637,69,252,359,0.0,충무김밥,열무물국수,오징어무침,829.0,506.0
86,2016-06-10,금,2637,151,270,61,0.0,밥,어묵국,버섯불고기,697.0,509.0
87,2016-06-13,월,2637,98,209,415,0.0,밥,들깨버섯탕,삼치데리야끼구이,1243.0,590.0
88,2016-06-14,화,2637,56,241,432,0.0,오므라이스,미소장국,훈제오리냉채,973.0,593.0
89,2016-06-15,수,2637,60,260,0,0.0,밥,닭개장,해물청경채볶음,984.0,535.0
