,일자,요일,본사정원수,본사휴가자수,본사출장자수,현본사소속재택근무자수,밥,국,메인,중식계
0,2016-02-01,월,2601,50,150,0.0,밥,오징어찌개,쇠불고기,1039.0
1,2016-02-02,화,2601,50,173,0.0,밥,김치찌개,가자미튀김,867.0
2,2016-02-03,수,2601,56,180,0.0,카레덮밥,팽이장국,치킨핑거,1017.0
3,2016-02-04,목,2601,104,220,0.0,밥,쇠고기무국,주꾸미볶음,978.0
4,2016-02-05,금,2601,278,181,0.0,밥,떡국,돈육씨앗강정,925.0
5,2016-02-11,목,2601,383,143,0.0,밥,시래기국,훈제오리구이,1045.0
6,2016-02-12,금,2601,389,156,0.0,밥,꽃게탕,돈육굴소스볶음,909.0
7,2016-02-15,월,2601,87,204,0.0,밥,시금치국,닭감자조림,1268.0
8,2016-02-16,화,2601,72,236,0.0,밥,쇠고기무국,탕수어,1014.0
9,2016-02-17,수,2601,78,250,0.0,밥,냉이된장국,쇠고기장조림,916.0
10,2016-02-18,목,2601,77,254,0.0,낙지비빔밥,유부장국,고구마치즈구이,910.0
11,2016-02-19,금,2601,145,252,0.0,밥,대구찌개,마늘간장치킨,763.0
12,2016-02-22,월,2601,90,207,0.0,밥,쇠고기느타리국,갈치구이,1298.0
13,2016-02-23,화,2601,57,237,0.0,밥,콩나물국,돈육간장볶음,899.0
14,2016-02-24,수,2601,54,232,0.0,비빔밥,팽이장국,소세지피망볶음,1022.0
15,2016-02-25,목,2601,56,261,0.0,밥,북어계란국,닭갈비,917.0
16,2016-02-26,금,2601,144,278,0.0,밥,수제비국,오징어볶음,766.0
17,2016-02-29,월,2601,595,168,0.0,밥,얼갈이된장국,제육볶음,869.0
18,2016-03-02,수,2624,127,182,0.0,밥,쇠고기미역국,주꾸미볶음,1127.0
19,2016-03-03,목,2624,61,224,0.0,밥,근대된장국,탕수육,1000.0
20,2016-03-04,금,2624,83,247,0.0,밥,부대찌개,가자미튀김,837.0
21,2016-03-07,월,2624,50,195,0.0,밥,콩나물국,닭갈비,1326.0
22,2016-03-08,화,2624,47,212,0.0,밥,차돌박이찌개,고등어김치말이,1026.0
23,2016-03-09,수,2624,43,225,0.0,밥,북어국,돈육장조림,901.0
24,2016-03-10,목,2624,55,245,0.0,밥,고추장찌개,닭데리야끼조림,847.0
25,2016-03-11,금,2624,108,275,0.0,밥,배추된장국,수제돈가스,728.0
26,2016-03-14,월,2624,61,183,0.0,밥,어묵국,돈육고추장볶음,1286.0
27,2016-03-15,화,2624,38,231,0.0,밥,쑥국,소불고기,958.0
28,2016-03-16,수,2624,50,213,0.0,곤드레밥,콩나물김치국,미니채소떡갈비,998.0
29,2016-03-17,목,2624,52,242,0.0,밥,사골우거지국,탕수어,832.0
30,2016-03-18,금,2624,118,277,0.0,밥,시금치국,훈제오리구이,757.0
31,2016-03-21,월,2624,65,205,0.0,밥,꽃게탕,버섯불고기,1030.0
32,2016-03-22,화,2624,41,208,0.0,밥,쇠고기샤브국,코다리강정,917.0
33,2016-03-23,수,2624,42,236,0.0,콩나물밥*달래장,맑은국,치킨텐더*요거트D,963.0
34,2016-03-24,목,2624,53,251,0.0,밥,북어계란국,쇠고기장조림,876.0
35,2016-03-25,금,2624,98,275,0.0,밥,닭개장,자반고등어구이,861.0
36,2016-03-28,월,2624,77,197,0.0,밥,얼갈이된장국,닭갈비,1193.0
37,2016-03-29,화,2624,52,245,0.0,밥,옹심이만두국,주꾸미볶음,892.0
38,2016-03-30,수,2624,48,230,0.0,봄새싹비빔밥,쪽파국,오징어튀김,1033.0
39,2016-03-31,목,2624,36,248,0.0,밥,매운콩나물국,돈육굴소스볶음,781.0
40,2016-04-01,금,2643,103,254,0.0,밥,버섯들깨탕,갈치조림,661.0
