 format: day,hour,value location:81_75 Start : 20210101 ,¿ù
1,0,0,0
1,100,0,0
1,200,0,0
1,300,0,0
1,400,0,0
1,500,0,0
1,600,0,0
1,700,0,0
1,800,0,0
1,900,0,0
1,1000,0,0
1,1100,0,0
1,1200,0,0
1,1300,0,0
1,1400,0,0
1,1500,0,0
1,1600,0,0
1,1700,0,0
1,1800,0,0
1,1900,0,0
1,2000,0,0
1,2100,0,0
1,2200,0,0
1,2300,0,0
2,0,0,0
2,100,0,0
2,200,0,0
2,300,0,0
2,400,0,0
2,500,0,0
2,600,0,0
2,700,0,0
2,800,0,0
2,900,0,0
2,1000,0,0
2,1100,0,0
2,1200,0,0
2,1300,0,0
2,1400,0,0
2,1500,0,0
2,1600,0,0
2,1700,0,0
2,1800,0,0
2,1900,0,0
2,2000,0,0
2,2100,0,0
2,2200,0,0
2,2300,0,0
3,0,0,0
3,100,0,0
3,200,0,0
3,300,0,0
3,400,0,0
3,500,0,0
3,600,0,0
3,700,0,0
3,800,0,0
3,900,0,0
3,1000,0,0
3,1100,0,0
3,1200,0,0
3,1300,0,0
3,1400,0,0
3,1500,0,0
3,1600,0,0
3,1700,0,0
3,1800,0,0
3,1900,0,0
3,2000,0,0
3,2100,0,0
3,2200,0,0
3,2300,0,0
4,0,0,0
4,100,0,0
4,200,0,0
4,300,0,0
4,400,0,0
4,500,0,0
4,600,0,0
4,700,0,0
4,800,0,0
4,900,0,0
4,1000,0,0
4,1100,0,0
4,1200,0,0
4,1300,0,0
4,1400,0,0
4,1500,0,0
4,1600,0,0
4,1700,0,0
4,1800,0,0
4,1900,0,0
4,2000,0,0
4,2100,0,0
4,2200,0,0
4,2300,0,0
5,0,0,0
5,100,0,0
5,200,0,0
5,300,0,0
5,400,0,0
5,500,0,0
5,600,0,0
5,700,0,0
5,800,0,0
5,900,0,0
5,1000,0,0
5,1100,0,0
5,1200,0,0
5,1300,0,0
5,1400,0,0
5,1500,0,0
5,1600,0,0
5,1700,0,0
5,1800,0,0
5,1900,0,0
5,2000,0,0
5,2100,0,0
5,2200,0,0
5,2300,0,0
6,0,0,0
6,100,0,0
6,200,0,0
6,300,0,0
6,400,0,0
6,500,0,0
6,600,0,0
6,700,0,0
6,800,0,0
6,900,0,0
6,1000,0,0
6,1100,0,0
6,1200,0,0
6,1300,0,0
6,1400,0,0
6,1500,0,0
6,1600,0,0
6,1700,0,0
6,1800,0,0
6,1900,0,0
6,2000,0,0
6,2100,0,0
6,2200,0,0
6,2300,0,0
7,0,0,0
7,100,0,0
7,200,0,0
7,300,0,0
7,400,0,0
7,500,0,0
7,600,0,0
7,700,0,0
7,800,0,0
7,900,0,0
7,1000,0,0
7,1100,0,0
7,1200,0,0
7,1300,0,0
7,1400,0,0
7,1500,0,0
7,1600,0,0
7,1700,0,0
7,1800,0,0
7,1900,0,0
7,2000,0,0
7,2100,0,0
7,2200,0,0
7,2300,0,0
8,0,0,0
8,100,0,0
8,200,0,0
8,300,0,0
8,400,0,0
8,500,0,0
8,600,0,0
8,700,0,0
8,800,0,0
8,900,0,0
8,1000,0,0
8,1100,0,0
8,1200,0,0
8,1300,0,0
8,1400,0,0
8,1500,0,0
8,1600,0,0
8,1700,0,0
8,1800,0,0
8,1900,0,0
8,2000,0,0
8,2100,0,0
8,2200,0,0
8,2300,0,0
9,0,0,0
9,100,0,0
9,200,0,0
9,300,0,0
9,400,0,0
9,500,0,0
9,600,0,0
9,700,0,0
9,800,0,0
9,900,0,0
9,1000,0,0
9,1100,0,0
9,1200,0,0
